id,predicted,true_label,confidence,result
C-1,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
C-2,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
C-3,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
C-4,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
C-5,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
C-6,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
C-7,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
C-8,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
C-9,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
C-10,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
C-11,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
C-12,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
C-13,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
C-14,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
C-15,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
