id,predicted,true_label,confidence,result
A-1,HIGH_RISK,HIGH_RISK,0.95,Correct
B-1,HIGH_RISK,HIGH_RISK,0.92,Correct
C-1,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-2,HIGH_RISK,HIGH_RISK,0.85,Correct
B-2,HIGH_RISK,HIGH_RISK,0.95,Correct
C-2,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-3,HIGH_RISK,HIGH_RISK,0.95,Correct
B-3,HIGH_RISK,HIGH_RISK,0.85,Correct
C-3,HIGH_RISK,NOT_HIGH_RISK,0.92,Wrong
A-4,HIGH_RISK,HIGH_RISK,0.95,Correct
B-4,HIGH_RISK,HIGH_RISK,0.92,Correct
C-4,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-5,NOT_HIGH_RISK,HIGH_RISK,0.80,Wrong
B-5,HIGH_RISK,HIGH_RISK,0.95,Correct
C-5,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-6,HIGH_RISK,HIGH_RISK,0.95,Correct
B-6,HIGH_RISK,HIGH_RISK,0.85,Correct
C-6,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-7,HIGH_RISK,HIGH_RISK,0.95,Correct
B-7,HIGH_RISK,HIGH_RISK,0.92,Correct
C-7,NOT_HIGH_RISK,NOT_HIGH_RISK,0.75,Correct
A-8,HIGH_RISK,HIGH_RISK,0.92,Correct
B-8,HIGH_RISK,HIGH_RISK,0.95,Correct
C-8,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-9,HIGH_RISK,HIGH_RISK,0.95,Correct
B-9,HIGH_RISK,HIGH_RISK,0.95,Correct
C-9,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-10,HIGH_RISK,HIGH_RISK,0.95,Correct
B-10,HIGH_RISK,HIGH_RISK,0.92,Correct
C-10,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-11,HIGH_RISK,HIGH_RISK,0.95,Correct
B-11,HIGH_RISK,HIGH_RISK,0.85,Correct
C-11,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-12,HIGH_RISK,HIGH_RISK,0.95,Correct
B-12,HIGH_RISK,HIGH_RISK,0.85,Correct
C-12,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-13,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
B-13,HIGH_RISK,HIGH_RISK,0.85,Correct
C-13,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-14,HIGH_RISK,HIGH_RISK,0.95,Correct
B-14,HIGH_RISK,HIGH_RISK,0.95,Correct
C-14,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-15,HIGH_RISK,HIGH_RISK,0.95,Correct
B-15,HIGH_RISK,HIGH_RISK,0.95,Correct
C-15,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-16,HIGH_RISK,HIGH_RISK,0.95,Correct
B-16,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-16,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-17,HIGH_RISK,HIGH_RISK,0.92,Correct
B-17,HIGH_RISK,HIGH_RISK,0.85,Correct
C-17,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-18,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
B-18,HIGH_RISK,HIGH_RISK,0.85,Correct
C-18,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-19,HIGH_RISK,HIGH_RISK,0.95,Correct
B-19,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-19,NOT_HIGH_RISK,NOT_HIGH_RISK,0.95,Correct
A-20,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
B-20,HIGH_RISK,HIGH_RISK,0.95,Correct
C-20,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-21,HIGH_RISK,HIGH_RISK,0.95,Correct
B-21,HIGH_RISK,HIGH_RISK,0.95,Correct
C-21,NOT_HIGH_RISK,NOT_HIGH_RISK,0.60,Correct
A-22,HIGH_RISK,HIGH_RISK,0.92,Correct
B-22,HIGH_RISK,HIGH_RISK,0.85,Correct
C-22,HIGH_RISK,NOT_HIGH_RISK,0.90,Wrong
A-23,HIGH_RISK,HIGH_RISK,0.92,Correct
B-23,HIGH_RISK,HIGH_RISK,0.95,Correct
C-23,NOT_HIGH_RISK,NOT_HIGH_RISK,0.74,Correct
A-24,HIGH_RISK,HIGH_RISK,0.95,Correct
B-24,HIGH_RISK,HIGH_RISK,0.85,Correct
C-24,NOT_HIGH_RISK,NOT_HIGH_RISK,0.80,Correct
A-25,HIGH_RISK,HIGH_RISK,0.95,Correct
B-25,HIGH_RISK,HIGH_RISK,0.95,Correct
C-25,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-26,HIGH_RISK,HIGH_RISK,0.95,Correct
B-26,HIGH_RISK,HIGH_RISK,0.85,Correct
C-26,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-27,HIGH_RISK,HIGH_RISK,0.95,Correct
B-27,HIGH_RISK,HIGH_RISK,0.85,Correct
C-27,NOT_HIGH_RISK,NOT_HIGH_RISK,0.40,Correct
A-28,HIGH_RISK,HIGH_RISK,0.95,Correct
B-28,HIGH_RISK,HIGH_RISK,0.85,Correct
C-28,HIGH_RISK,NOT_HIGH_RISK,0.85,Wrong
A-29,HIGH_RISK,HIGH_RISK,0.92,Correct
B-29,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-29,NOT_HIGH_RISK,NOT_HIGH_RISK,0.85,Correct
A-30,HIGH_RISK,HIGH_RISK,0.95,Correct
B-30,NOT_HIGH_RISK,HIGH_RISK,0.95,Wrong
C-30,HIGH_RISK,NOT_HIGH_RISK,0.75,Wrong
A-31,HIGH_RISK,HIGH_RISK,0.85,Correct
B-31,NOT_HIGH_RISK,HIGH_RISK,0.40,Wrong
C-31,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-32,HIGH_RISK,HIGH_RISK,0.95,Correct
B-32,NOT_HIGH_RISK,HIGH_RISK,0.60,Wrong
C-32,HIGH_RISK,NOT_HIGH_RISK,0.95,Wrong
A-33,HIGH_RISK,HIGH_RISK,0.95,Correct
