,,,,,,,,,,,
Number,Description,Department,Lvl,Primary,Alternate,Total,Enrollment Max,Section Count,,,
ACAL-12---,AP CALCULUS AB 12 external credential,Mathematics,Regular,58,0,58,29,2,,,
,,,,,,,,,,,
ACSC-2A---,AP COMPUTER SCIENCE A 12,Information Tech,Regular,25,2,27,24,1,,,
,,,,,,,,,,,
AELC-12---,AP ENGLISH LITERATURE & COMPOSITION 12,English,Regular,21,0,21,24,1,,,
,,,,,,,,,,,
APHM-12---,AP PHYSICS C (MECHANICS) 12 external credential,Sciences,Regular,24,0,24,23,1,,,
,,,,,,,,,,,
ASTA-12---,AP STATISTICS 12,Mathematics,Regular,28,10,38,29,1,,,
,,,,,,,,,,,
MAC--11---,ACCOUNTING 11,Business Education,Regular,45,30,75,29,2,,,
,,,,,,,,,,,
MACC-12---,ACCOUNTING 12,Business Education,Regular,13,6,19,29,0,,,
,,,,,,,,,,,
MACLV11---,ACTIVE LIVING 11,Physical Education,Regular,28,9,37,29,1,,,
,,,,,,,,,,,
MACLV11G--,ACTIVE LIVING 11 Girls,Physical Education,Regular,10,6,16,29,0,,,
,,,,,,,,,,,
MACLV12---,ACTIVE LIVING 12,Physical Education,Regular,28,4,32,29,1,,,
,,,,,,,,,,,
MACLV12G--,ACTIVE LIVING 12 Girls,Physical Education,Regular,7,4,11,29,0,,,
,,,,,,,,,,,
MADD-09---,ADST - Drafting 9,Applied Skills,Regular,31,32,63,24,1,,,
,,,,,,,,,,,
MADEM10---,ADST – ENTREPRENEURSHIP AND MARKETING 10,Applied Skills,Regular,85,54,139,29,3,,,
,,,,,,,,,,,
MADER09---,ADST - Electronics and Robotics,Applied Skills,Regular,29,29,58,24,1,,,
,,,,,,,,,,,
MADFS09---,ADST - Food Studies 9,Applied Skills,Regular,1,0,1,23,0,,,
,,,,,,,,,,,
MADGE09D--,ADST 9 - General Exploratns Design Innov & Inquiry,Applied Skills,Regular,17,28,45,24,1,,,
,,,,,,,,,,,
MADIT09---,ADST-Information and ,Applied Skills,Regular,66,24,90,24,3,,,
,,,,,,,,,,,
MADW-09---,ADST - Woodwork 9,Applied Skills,Regular,29,17,46,21,1,,,
,,,,,,,,,,,
MAE--09---,ARTS EDUCATION 9,Fine Arts,Regular,36,29,65,29,1,,,
,,,,,,,,,,,
MATPH12---,ANATOMY AND PHYSIOLOGY 12,Science,Regular,71,12,83,23,3,,,
,,,,,,,,,,,
MATPH12D--,ANATOMY AND PHYSIOLOGY 12 (PSI),Science,Regular,20,1,21,23,1,,,
,,,,,,,,,,,
MBIT-11,INTRODUCTORY ITALIAN 11,Languages,Regular,17,8,25,29,1,,,
,,,,,,,,,,,
MCALC12---,CALCULUS 12,Mathematics,Regular,48,3,51,29,2,,,
,,,,,,,,,,,
MCH--11---,CHEMISTRY 11,Science,Regular,142,7,149,23,6,,,
,,,,,,,,,,,
MCH--12---,CHEMISTRY 12,Science,Regular,112,10,122,23,5,,,
,,,,,,,,,,,
MCLC-12---,CAREER LIFE CONNECTIONS,Career Preparation,Regular,2,0,2,29,0,,,
,,,,,,,,,,,
MCLE-10---,CAREER LIFE EDUCATION 10,Career Preparation,Regular,165,5,170,29,6,,,
,,,,,,,,,,,
MCLE-10--L,CAREER LIFE EDUCATION 10 Linear,Career Preparation,Regular,15,0,15,29,1,,,
,,,,,,,,,,,
MCMCC11--L,CHORAL MUSIC 11: CONCERT CHOIR Linear,Music,Regular,8,0,8,50,0,,,
,,,,,,,,,,,
MCMCC12--L,CHORAL MUSIC 12: CONCERT CHOIR Linear,Music,Regular,4,0,4,50,0,,,
,,,,,,,,,,,
MCMCL12---,COMPARATIVE CULTURES 12,Social Studies,Regular,47,14,61,24,2,,,
,,,,,,,,,,,
MCMPR11W--,WEB DEVELOPMENT,Information Tech,Regular,24,37,61,24,1,,,
,,,,,,,,,,,
MCMPR12W--,WEB DEVELOPMENT 12,Information Tech,Regular,6,9,15,24,0,,,
,,,,,,,,,,,
MCMPS10---,COMPOSITION 10,English,Regular,64,0,64,24,3,,,
,,,,,,,,,,,
MCMPS10C--,COMPOSITION 10 Challenge,English,Regular,45,0,45,24,2,,,
,,,,,,,,,,,
MCMPS11---,COMPOSITION 11,English,Regular,102,2,104,24,4,,,
,,,,,,,,,,,
MCTWR11---,CREATIVE WRITING 11,English,Regular,78,0,78,24,3,,,
,,,,,,,,,,,
MDCF-10---,DANCE FOUNDATIONS 10,Fine Arts,Regular,17,2,19,29,1,,,
,,,,,,,,,,,
MDCF-11---,DANCE FOUNDATIONS 11,Fine Arts,Regular,6,6,12,29,0,,,
,,,,,,,,,,,
MDCF-12---,DANCE FOUNDATIONS 12,Fine Arts,Regular,6,1,7,29,0,,,
,,,,,,,,,,,
MDCOM11C--,COMPUTER STUDIES 11,Information Tech,Regular,1,1,2,24,0,,,
,,,,,,,,,,,
MDMD-12D--,3D ANIMATION 12,Information Tech,Regular,19,22,41,24,1,,,
,,,,,,,,,,,
MDNC-09C-L,DANCE 9 Choreography Linear,Fine Arts,Regular,6,0,6,29,0,,,
,,,,,,,,,,,
MDNC-09F--,DANCE 9 Foundations,Fine Arts,Regular,4,8,12,29,0,,,
,,,,,,,,,,,
MDNC-09H--,DANCE 9 HIP HOP,Fine Arts,Regular,10,4,14,29,0,,,
,,,,,,,,,,,
MDNC-09M-L,DANCE 9 Company: Platform 61 Linear,Fine Arts,Regular,8,0,8,29,0,,,
,,,,,,,,,,,
MDNC-09PT-,DANCE 9 Performance and Technique,Fine Arts,Regular,6,5,11,29,0,,,
,,,,,,,,,,,
MDNC-10--L,DANCE 10: CHOREOGRAPHY Linear,Fine Arts,Regular,14,0,14,29,0,,,
,,,,,,,,,,,
MDNC-11--L,DANCE 11: CHOREOGRAPHY Linear,Fine Arts,Regular,14,0,14,29,0,,,
,,,,,,,,,,,
MDNC-12--L,DANCE 12: CHOREOGRAPHY Linear,Fine Arts,Regular,10,0,10,29,0,,,
,,,,,,,,,,,
MDNCM10--L,DANCE COMPANY 10 Linear,Fine Arts,Regular,12,0,12,29,0,,,
,,,,,,,,,,,
MDNCM11--L,DANCE COMPANY 11 Linear,Fine Arts,Regular,15,0,15,29,1,,,
,,,,,,,,,,,
MDNCM12--L,DANCE COMPANY 12 Linear,Fine Arts,Regular,10,0,10,29,0,,,
,,,,,,,,,,,
MDNCN11---,DANCE CONDITIONING 11,Fine Arts,Regular,12,4,16,29,0,,,
,,,,,,,,,,,
MDNCN12---,DANCE CONDITIONING 12,Fine Arts,Regular,7,0,7,29,0,,,
,,,,,,,,,,,
MDNTP10---,DANCE TECHNIQUE AND PERFORMANCE 10,Fine Arts,Regular,10,4,14,29,0,,,
,,,,,,,,,,,
MDNTP11---,DANCE TECHNIQUE AND PERFORMANCE 11,Fine Arts,Regular,12,2,14,29,0,,,
,,,,,,,,,,,
MDNTP12---,DANCE TECHNIQUE AND PERFORMANCE 12,Fine Arts,Regular,7,1,8,29,0,,,
,,,,,,,,,,,
MDR--09---,DRAMA 9,Fine Arts,Regular,14,10,24,29,0,,,
,,,,,,,,,,,
MDRM-10---,DRAMA 10,Fine Arts,Regular,22,13,35,29,1,,,
,,,,,,,,,,,
MDRM-11---,DRAMA 11,Fine Arts,Regular,16,6,22,29,1,,,
,,,,,,,,,,,
MDRM-12---,DRAMA 12,Fine Arts,Regular,12,5,17,29,0,,,
,,,,,,,,,,,
MEFWR10---,EFP WRITING 10,English,Regular,111,0,111,24,5,,,
,,,,,,,,,,,
MEN--09---,ENGLISH LANGUAGE ARTS 9,English,Regular,111,0,111,24,5,,,
,,,,,,,,,,,
MEN--09C--,ENGLISH LANGUAGE ARTS 9 CHALLENGE,English,Regular,43,0,43,24,2,,,
,,,,,,,,,,,
MEN--09E--,ENGLISH 9 FOR ELL,English,Regular,17,0,17,24,1,,,
,,,,,,,,,,,
MENFP12---,ENGLISH FIRST PEOPLES 12,English,Regular,88,0,88,24,4,,,
,,,,,,,,,,,
MENFP12--Y,ENGLISH FIRST PEOPLES 12 Year,English,Regular,23,0,23,24,1,,,
,,,,,,,,,,,
MENST12---,ENGLISH STUDIES 12,English,Regular,54,1,55,24,2,,,
,,,,,,,,,,,
MENST12C--,ENGLISH STUDIES 12 CHALLENGE,English,Regular,27,0,27,24,1,,,
,,,,,,,,,,,
MENT-12---,ENTREPRENEURSHIP 12,Business Education,Regular,28,19,47,29,1,,,
,,,,,,,,,,,
MEPSS11---,EXPLORATIONS IN SOCIAL STUDIES 11,Social Studies,Regular,55,7,62,24,2,,,
,,,,,,,,,,,
MEVSC11---,ENVIRONMENTAL SCIENCE 11,Science,Regular,44,8,52,23,2,,,
,,,,,,,,,,,
MEVSC12C--,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,Science,Regular,34,11,45,23,1,,,
,,,,,,,,,,,
MFMP-10---,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,Mathematics,Regular,126,2,128,29,4,,,
,,,,,,,,,,,
MFMP-10C--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,Mathematics,Regular,45,0,45,29,2,,,
,,,,,,,,,,,
MFMP-10H--,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,Mathematics,Regular,51,0,51,29,2,,,
,,,,,,,,,,,
MFOM-11---,FOUNDATIONS OF MATHEMATICS 11,Mathematics,Regular,36,1,37,29,1,,,
,,,,,,,,,,,
MFOOD10---,ADST –  FOOD STUDIES 10,Applied Skills,Regular,101,44,145,23,4,,,
,,,,,,,,,,,
MFOOD11---,FOOD STUDIES 11,Applied Skills,Regular,59,33,92,23,3,,,
,,,,,,,,,,,
MFOOD12---,FOOD STUDIES 12,Applied Skills,Regular,62,24,86,23,3,,,
,,,,,,,,,,,
MFR--09---,FRENCH 9,Modern Languages,Regular,35,11,46,29,1,,,
